ITS2 type profile UID		71572	72559	72301	72043	72047	72446	72407	72048	72498	72044	72046	71917	72507	72045	72065	71940	71949	71825	71829	72157	72418	72076	72097	71730	71884	72156	72040	72521	72515	72174	72168	72177
Clade		A	A	B	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	C	D	D	D	D	D
Majority ITS2 sequence		A1	A1	B1	C3f	C3f	C1	C1	C3f/C3	C15	C3f/C3fl	C42a	C1	C3	C42.2	C3	C1/C3	C42a	C42a	C42g	C1y	C42.2	C3k	C91	C1	C15	C3fn	C1	D1	D1	D1	D1	D1
Associated species		S. microadriaticum	S. microadriaticum	S. minutum,S. antillogorgium,S. pseudominutum	None	None	S. goreaui	S. goreaui	None	None	None	None	S. goreaui	None	None	None	S. goreaui	None	S. goreaui	S. goreaui	None	S. goreaui	None	None	S. goreaui	None	None	S. goreaui	S. glynnii,S. trenchii	S. glynnii,S. trenchii	S. trenchii	S. glynnii,S. trenchii	S. glynnii,S. trenchii
ITS2 profile abundance local		1	1	2	50	28	17	14	13	9	7	7	6	5	4	2	2	2	2	2	2	2	1	1	1	1	1	1	58	10	10	3	2
ITS2 profile abundance DB		37	12	64	50	28	372	257	13	11	7	7	17	6	4	40	77	26	14	38	5	25	20	13	29	27	6	33	74	105	103	23	90
ITS2 type profile		A1-A1bw-A1bf-A1bx	A1-A1ee	B1-B1a-B1b-B1g	C3f-C3fl-C3-C50a-C3ae-C3fm-C3h-C50q	C3f-C3fl-C50a-C3-C3ae-C3fm-C3h-C3bj	C1-C1b-C1c-C42.2-C1br-C1bh-C1cb-C72k	C1/C3-C1c-C1b-C72k-C1w	C3f/C3-C50a-C3fl-C3ae-C3fm-C50q-C3b	C15-C15ek-C15gy-C15gk-C15el	C3f/C3fl-C3ae-C3-C3bj-C50a-C3h	C42a-C1-C42.2-C1j-C1b-C42as-C42aa	C1/C1b/C3-C1u-C1bo	C3-C3fo-C3a	C42.2-C42aq-C1-C42ar	C21/C3	C3/C1	C42a-C42.2-C1-C1b-C42b-C1au	C42a/C1b/C1-C42.2-C42b	C42g/C42a/C1/C42.2-C42h-C42b-C1b	C1y	C42.2/C1-C42i-C3-C1b-C1au	C3k	C91	C1/C1c-C1b	C15-C15by	C3fn	C1/C42.2/C3-C1b	D1-D4-D6-D1b-D1d-D6c-D4d	D1-D4-D4c-D6-D1d-D2	D1-D4-D4c-D1c-D2	D1/D4/D1d-D6	D4/D1/D1ab-D6
107356	C58	0	0	0	0	0	0	52770.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107480	E58	0	0	0	0	0	0	35706.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107355	C57	0	0	0	0	0	0	23664.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107359	C60	0	0	0	0	0	0	44524.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107365	C66	0	0	0	0	0	0	44733.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107489	E66	0	0	0	0	0	0	72496.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107336	C4	0	0	0	0	0	0	0	43619.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107314	C2	0	0	0	0	0	0	0	41406.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107505	E80	0	0	0	0	0	0	0	22875.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107510	E85	0	0	0	0	0	0	0	12795.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107449	E3	0	0	0	0	0	0	0	39789.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107482	E6	0	0	0	0	0	0	0	37541.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107460	E4	0	0	0	0	0	0	0	28654.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107440	E21	0	0	0	0	0	0	0	38331.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	242.0	0
107445	E26	0	0	0	0	0	0	0	2892.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107450	E30	0	0	0	0	0	0	0	35146.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107448	E29	0	0	0	0	0	0	0	31113.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107326	C30	0	0	0	0	0	0	0	28218.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107487	E64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	29044.0	0	0	0
107363	C64	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44561.0	0	0	0
107364	C65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46296.0	0	0	0
107485	E62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32244.0	0	0	0
107486	E63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	96523.0	0	0	0
107362	C63	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35705.0	0	0	0
107484	E61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18361.0	0	0	0
107361	C62	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	50014.0	0	0	0
107488	E65	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	45931.0	0	0	0
107360	C61	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46174.0	0	0	0
107372	C72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18346.0	0	0
107496	E72	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	62521.0	0	0
107495	E71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	38375.0	0	0
107371	C71	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	44988.0	0	0
107498	E74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25216.0	0	0
107373	C73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36389.0	0	0
107497	E73	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17227.0	0	0
107374	C74	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42777.0	0	0
107499	E75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	35708.0	0	0
107375	C75	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1815.0	0	0	0	0	0	0	14728.0	0	0
107439	E20	0	0	0	0	0	0	0	0	50173.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107311	C17	0	0	0	0	0	0	0	0	53688.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107315	C20	0	0	0	0	0	0	0	0	55567.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107310	C16	0	0	225.0	0	0	0	0	0	49249.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107436	E18	0	0	0	0	0	0	0	0	52754.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107437	E19	0	0	0	0	0	0	0	0	42133.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107435	E17	0	0	0	0	0	0	0	0	57027.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107434	E16	0	0	274.0	0	0	0	0	0	37463.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107312	C18	0	0	0	0	0	0	0	0	51049.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107500	E76	0	0	0	0	0	0	0	0	0	24978.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107502	E78	0	0	0	0	0	0	0	0	0	44730.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107378	C78	0	0	0	0	0	0	0	0	0	29062.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107376	C76	0	0	0	0	0	0	0	0	0	30809.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107447	E28	0	0	0	0	0	0	0	0	0	35343.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107323	C28	0	0	0	0	0	0	0	0	0	31697.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107442	E23	0	0	0	0	0	0	0	0	0	44033.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107345	C48	0	0	0	0	0	0	0	0	0	0	29296.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107469	E48	0	0	0	0	0	0	0	0	0	0	41065.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107343	C46	0	0	0	0	0	0	0	0	0	0	39970.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107467	E46	0	0	0	0	0	0	0	0	0	0	31135.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107468	E47	0	0	0	0	0	0	0	0	0	0	33599.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107344	C47	0	0	0	0	0	0	0	0	0	0	46702.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107470	E49	0	0	0	0	0	0	0	0	0	0	17714.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107396	C94	0	0	0	0	0	0	0	0	0	0	0	51258.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107520	E94	0	0	0	0	0	0	0	0	0	0	0	27921.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107521	E95	0	0	0	0	0	0	0	0	0	0	0	137652.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107397	C95	0	0	0	0	0	0	0	0	0	0	0	40115.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107395	C93	0	0	0	0	0	0	0	0	0	0	0	23085.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107519	E93	0	0	0	0	0	0	0	0	0	0	0	48057.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107524	E98	0	0	0	0	0	0	0	0	0	0	0	0	23069.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107401	C99	0	0	0	0	0	0	0	0	0	0	0	0	22061.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107280	C100	0	0	0	0	0	0	0	0	0	0	0	0	31668.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107400	C98	0	0	0	0	0	0	0	0	0	0	0	0	50006.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107525	E99	0	0	0	0	0	0	0	0	0	0	0	0	41867.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107452	E32	0	0	0	0	0	0	0	0	0	0	0	0	0	50581.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107329	C33	0	0	0	0	0	0	0	0	0	0	0	0	0	52595.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107453	E33	0	0	0	0	0	0	0	0	0	0	0	0	0	45248.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107328	C32	0	0	0	0	0	0	0	0	0	0	0	0	0	55799.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107394	C92	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20853.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107393	C91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	20720.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107472	E50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	32240.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107348	C50	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	51610.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107454	E34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	33359.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107330	C34	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	37691.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107451	E31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	36624.0	0	0	0	0	0	0	0	0	0	0	0	0	0
107327	C31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	27157.0	0	0	0	0	0	0	0	0	0	0	0	0	0
107481	E59	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	18802.0	0	0	0	21851.0	0	0	0	0	0	0	0	0	0	0	0	0
107331	C35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	42880.0	0	0	0	0	0	0	0	0	0	0	0
107455	E35	919.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46196.0	0	0	0	0	0	0	0	0	0	0	0
107313	C19	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	39451.0	0	0	0	0	0	0	0
107517	E91	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2768.0	0	0	0	0	0	0	3310.0	0	0	0	0	0
107522	E96	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107413	E109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
107346	C49	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		883-914-976-968	883-1847	4946-29275-29219-29212	28-69992-32-20940-26-914774-29-21168	28-69992-20940-32-26-914774-29-30	2-308-4-1-831-848-835-832	2-308-4-835-32-833	28/32-20940-69992-26-914774-21168-80	517-483284-151688-360966-236792	28/69992-26-32-30-20940-29	82-2-1-15-4-480865-70549	2-4-6276-32-11962	32-3343-161	1-93769-2-914799	32-41		82-1-83-4-2-20	82-1-4-83-2	211-82-1-2-83-212-4	52420	1-2-3-4-32-20	37	1254	2-308-4	517-1574	422	2-32-1-4	853-854-933-3850-940-935-1660	853-854-940-1730-933-855	853-854-1730-855-2308	853-854-933-940	853-854-933-1674
Average defining sequence proportions and [stdev]		0.934[nan]-0.029[nan]-0.020[nan]-0.017[nan]	0.575[nan]-0.425[nan]	0.791[0.043]-0.101[0.034]-0.068[0.004]-0.040[0.006]	0.383[0.045]-0.123[0.018]-0.115[0.020]-0.114[0.023]-0.113[0.018]-0.066[0.012]-0.051[0.011]-0.036[0.006]	0.376[0.065]-0.127[0.026]-0.116[0.022]-0.116[0.027]-0.113[0.011]-0.070[0.014]-0.047[0.013]-0.035[0.010]	0.681[0.076]-0.108[0.037]-0.076[0.032]-0.049[0.026]-0.031[0.019]-0.023[0.015]-0.017[0.006]-0.016[0.010]	0.776[0.016]-0.132[0.023]-0.032[0.005]-0.022[0.003]-0.022[0.008]-0.015[0.008]	0.279[0.078]-0.165[0.036]/0.161[0.035]-0.138[0.020]-0.101[0.019]-0.079[0.016]-0.041[0.010]-0.036[0.006]	0.885[0.004]-0.046[0.004]-0.045[0.006]-0.012[0.001]-0.011[0.000]	0.315[0.050]/0.198[0.071]-0.143[0.018]-0.125[0.008]-0.093[0.006]-0.080[0.007]-0.045[0.005]	0.550[0.077]-0.132[0.036]-0.083[0.014]-0.075[0.020]-0.058[0.020]-0.052[0.018]-0.050[0.013]	0.370[0.061]-0.268[0.025]-0.180[0.051]-0.147[0.018]-0.035[0.003]	0.916[0.003]-0.054[0.001]-0.030[0.002]	0.475[0.023]-0.308[0.015]-0.130[0.008]-0.087[0.040]	0.665[0.013]-0.335[0.013]	0.508[0.663]/0.492[0.663]	0.490[0.010]-0.192[0.006]-0.110[0.007]-0.093[0.001]-0.091[0.010]-0.024[0.001]	0.457[0.002]-0.245[0.002]-0.180[0.001]-0.075[0.004]-0.043[0.003]	0.610[0.003]-0.112[0.008]-0.081[0.004]-0.074[0.010]-0.048[0.020]-0.042[0.002]-0.032[0.006]	1.000[0.000]	0.695[0.000]-0.189[0.000]-0.036[0.001]-0.031[0.001]-0.029[0.001]-0.019[0.001]	1.000[nan]	1.000[nan]	0.691[nan]-0.158[nan]-0.150[nan]	0.994[nan]-0.006[nan]	1.000[nan]	0.855[nan]-0.094[nan]-0.039[nan]-0.012[nan]	0.531[0.019]-0.240[0.013]-0.137[0.009]-0.035[0.004]-0.025[0.012]-0.024[0.004]-0.007[0.001]	0.592[0.008]-0.242[0.005]-0.072[0.008]-0.048[0.004]-0.033[0.008]-0.013[0.001]	0.691[0.017]-0.213[0.006]-0.038[0.008]-0.029[0.011]-0.029[0.001]	0.585[0.028]-0.195[0.078]-0.160[0.078]-0.060[0.027]	0.578[0.019]-0.251[0.036]-0.140[0.008]-0.030[0.009]
