134609	5NBOb2	0	0	0	0	203.0	0	0	0	0	0	0	0	0	0	0	0	87407.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134594	30BNMb2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	28189.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134583	27NBOb2	0	1714.0	0	0	0	0	0	0	0	8014.0	0	0	0	0	0	0	68075.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134593	309Af2	0	0	0	0	0	0	0	0	0	3454.0	0	0	0	0	0	0	0	6521.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134590	301Af2	1359.0	0	0	0	0	0	0	0	0	14624.0	0	0	0	0	0	0	0	27813.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134591	304Af2	0	800.0	0	0	0	0	0	0	0	16522.0	0	0	0	0	0	0	0	17128.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	137.0	0	0	0	0	0
134605	324Af2	0	0	0	0	0	0	0	0	0	0	577.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	49148.0	0	0	0	0
134599	319Af2	0	0	0	0	0	0	0	0	0	0	208.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17.0	0	0	0	25070.0	0	0	0	0
134431	1NBOb	0	0	0	0	0	0	620.0	0	0	0	0	0	0	0	0	1020.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	53861.0	0	0	0	0
134600	319Of2	0	0	0	0	0	0	0	0	0	0	357.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3828.0	0	0	0	0
134543	50BNMb	0	0	7784.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	43454.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8345.0	0	0	0
134589	29BNMb2	0	0	0	119435.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134541	46BNMb	0	0	0	25596.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134465	263Oc	0	0	0	56487.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134480	27BNMb	0	0	0	0	0	66324.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134506	311Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	933.0	0	0	20092.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134601	31BNMb2	0	1156.0	0	0	0	0	0	0	0	1580.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7356.0	0	0	0	0	0	6160.0	0	0	0	0	0
134532	36BNMb	0	0	0	0	0	0	0	0	51497.0	0	0	0	0	0	0	0	0	0	0	233.0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134548	9NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134544	5NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134539	44BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134538	43BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134530	34BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134527	324Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134526	323Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134524	322Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134522	321Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134521	31BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134520	319Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134519	319Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134515	317Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134514	316Of	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134509	313Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134505	311Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134503	30NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134502	30BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134501	309Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134497	304Af	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134491	29BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134490	296Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134484	28BNMb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134483	283Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134482	280Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134481	27NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134479	276Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134478	272Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134472	269Oc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134471	268Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134469	266Oc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134466	264Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134463	262Oc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134462	262Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134461	260Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134460	25NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134458	259Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134456	257Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134455	256Oc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134454	256Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134452	255Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134451	252Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134449	250Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134437	219Mc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134436	217Oc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134425	13NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134424	12NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
134422	10NBOb	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		883-59904-1847-73415	883	883/59904-1847	883-1847	883-9259-29208	1847-2061-883-73321	883-1480-1474	883-965	883-930	26	26/28-32-30-167	27/32/28-26-30-29-31	2-308-4-1-835-831-848-832	26-32-28-30-168-167-29-31	30	2-308-4-1112-1103-1108-1123-1	2-308-4-32-1-833	32-41	26/2-32-28-30-167	2-308-4-32-835	2-308-4	632-634-6114	632	2	2-308	2051-32-2-2678-38928	32	26-32-28-27-30-167-29-31	32-1330	2-1	2-308-828-835	2-517	2-32	2-32-4-1	32-71	41	5	853-933-854-940-10403-3850-935-855	853/62628-1767144	853-854-10613-855-10403	853-62628	853-933-854-10403-855	933-853-854-940-1730-935	853-933-854-62628
Average defining sequence proportions and [stdev]		0.901[0.023]-0.060[0.023]-0.028[0.009]-0.012[0.008]	1.000[0.000]	0.783[0.230]/0.161[0.247]-0.057[0.040]	0.966[0.005]-0.034[0.005]	0.901[0.028]-0.060[0.018]-0.039[0.010]	0.736[nan]-0.177[nan]-0.078[nan]-0.009[nan]	0.963[nan]-0.021[nan]-0.016[nan]	0.955[nan]-0.045[nan]	0.982[nan]-0.018[nan]	1.000[0.000]	0.523[0.128]-0.178[0.071]/0.147[0.095]-0.087[0.022]-0.064[0.037]	0.255[0.050]/0.221[0.033]/0.217[0.023]-0.199[0.014]-0.043[0.004]-0.041[0.009]-0.024[0.006]	0.726[0.029]-0.135[0.038]-0.050[0.011]-0.028[0.009]-0.020[0.003]-0.019[0.008]-0.012[0.004]-0.009[0.003]	0.528[0.057]-0.154[0.049]-0.107[0.031]-0.074[0.013]-0.045[0.021]-0.044[0.017]-0.026[0.003]-0.022[0.005]	1.000[0.000]	0.701[0.056]-0.155[0.071]-0.033[0.017]-0.029[0.015]-0.028[0.016]-0.021[0.011]-0.017[0.003]-0.016[0.005]	0.748[0.027]-0.161[0.032]-0.035[0.004]-0.030[0.027]-0.018[0.003]-0.009[0.002]	0.807[0.008]-0.193[0.008]	0.498[0.201]/0.174[0.242]-0.123[0.033]-0.090[0.022]-0.075[0.045]-0.040[0.021]	0.747[0.030]-0.164[0.014]-0.031[0.021]-0.030[0.011]-0.028[0.011]	0.756[0.072]-0.186[0.075]-0.058[0.009]	0.786[0.073]-0.124[0.039]-0.090[0.034]	1.000[0.000]	1.000[0.000]	0.770[0.047]-0.230[0.047]	0.316[nan]-0.231[nan]-0.162[nan]-0.160[nan]-0.130[nan]	1.000[nan]	0.386[nan]-0.211[nan]-0.164[nan]-0.104[nan]-0.060[nan]-0.027[nan]-0.026[nan]-0.022[nan]	0.673[nan]-0.327[nan]	0.808[nan]-0.192[nan]	0.706[nan]-0.203[nan]-0.073[nan]-0.018[nan]	0.542[nan]-0.458[nan]	0.673[nan]-0.327[nan]	0.562[nan]-0.319[nan]-0.080[nan]-0.039[nan]	0.785[nan]-0.215[nan]	1.000[nan]	1.000[nan]	0.347[0.015]-0.244[0.013]-0.199[0.012]-0.077[0.005]-0.062[0.011]-0.031[0.004]-0.027[0.003]-0.013[0.004]	0.564[0.164]/0.344[0.162]-0.091[0.022]	0.829[0.011]-0.086[0.013]-0.042[0.005]-0.028[0.003]-0.014[0.001]	0.641[0.026]-0.359[0.026]	0.491[nan]-0.195[nan]-0.188[nan]-0.105[nan]-0.020[nan]	0.567[nan]-0.208[nan]-0.103[nan]-0.090[nan]-0.022[nan]-0.009[nan]	0.387[nan]-0.278[nan]-0.243[nan]-0.091[nan]
